projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,avg_L5,avg_L10,avg_L20,avg_season,games_played,fantasy_score_avg_L5,fantasy_score_avg_L10,fantasy_score_avg_L20,fantasy_score_avg_season,toi_avg_L10,toi_avg_season,last1_time_on_ice,last2_time_on_ice,last3_time_on_ice,last1_fantasy_score,last2_fantasy_score,last3_fantasy_score,last1_faceoffs_won,last2_faceoffs_won,last3_faceoffs_won,last1_shots_on_goal_(combo),last2_shots_on_goal_(combo),last3_shots_on_goal_(combo),last1_hits,last2_hits,last3_hits,last1_shots_on_goal,last2_shots_on_goal,last3_shots_on_goal,last1_blocked_shots,last2_blocked_shots,last3_blocked_shots,last1_points,last2_points,last3_points,last1_assists,last2_assists,last3_assists,last1_goals,last2_goals,last3_goals,last1_plus/minus,last2_plus/minus,last3_plus/minus,last1_power_play_points,last2_power_play_points,last3_power_play_points,last1_goalie_saves,last2_goalie_saves,last3_goalie_saves,last1_goals_allowed,last2_goals_allowed,last3_goals_allowed,hit_rate_over_L5,over_L5,under_L5,sample_L5,hit_rate_over_L10,over_L10,under_L10,sample_L10,hit_rate_over_L20,over_L20,under_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,edge,recommended_side,position_code,position_group,scoring_tier,pp_tier,pts_per_game,goals_per_game,pp_pts_per_game,toi_per_game_api
10400434,218355,Jackson LaCombe,ANA,D,Time On Ice,24.5,standard,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,time_on_ice,SKATER,STL,1,8481605,3.419,0.0,0.0,2.613,0.0,0.0,62,26,WEAK,,,,,30,2.1,3.4,4.425,5.717,25.669,24.491,,,,4.5,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,3,2,5,0.5,5,5,10,0.4,8,12,20,0.4667,30,0.5217,0.0217,OVER,D,D,SECONDARY,PP_REGULAR,0.694,0.113,0.226,24.43
10400433,218282,Colton Parayko,STL,D,Time On Ice,21.5,standard,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,time_on_ice,SKATER,ANA,0,8476892,3.5,0.0,0.0,3.403,0.0,0.0,62,30,WEAK,,,,,30,3.8,3.7,3.1,3.05,21.366,21.949,,,,5.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,3,2,5,0.7,7,3,10,0.65,13,7,20,0.6667,30,0.6492,0.1492,OVER,D,D,SHUTDOWN,NO_PP,0.241,0.017,0.0,22.4
10400432,58601,Robert Thomas,STL,F,Time On Ice,19,standard,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,time_on_ice,SKATER,ANA,0,8480023,3.5,0.0,0.0,3.403,0.0,0.0,62,30,WEAK,,,,,30,13.0,13.95,10.75,11.1,20.15,19.984,,,,13.0,5.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,4,5,0.3,3,7,10,0.55,11,9,20,0.6333,30,0.3308,0.1692,UNDER,C,F,SECONDARY,PP_REGULAR,0.867,0.333,0.2,18.88
10411517,58601,Robert Thomas,STL,F,Faceoffs Won,9,standard,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,faceoffs_won,SKATER,ANA,0,8480023,3.5,0.0,0.0,3.403,0.0,0.0,62,30,WEAK,,,,,30,13.0,13.95,10.75,11.1,20.15,19.984,,,,13.0,5.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,0.5,UNDER,C,F,SECONDARY,PP_REGULAR,0.867,0.333,0.2,18.88
10411710,305659,Cutter Gauthier + Pavel Buchnevich,ANA/STL,F,Shots On Goal (Combo),5.5,standard,False,STL/ANA,,,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal_(combo),SKATER,STL/ANA,0,8477402|8483445,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.5,UNDER,F,F,UNKNOWN,N/A,0.0,0.0,0.0,
10411652,294303,Jeffrey Viel,ANA,F,Hits,3,standard,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,hits,SKATER,STL,1,8479705,3.419,0.0,0.0,2.613,0.0,0.0,62,26,WEAK,0.0,0.0,0.0,0.0,5,0.9,0.9,0.9,0.9,7.69,7.69,,,,0.0,0.0,1.5,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,25,0.0,0.5,UNDER,L,F,SHUTDOWN,NO_PP,0.2,0.133,0.0,13.28
10411663,189024,Ross Johnston,ANA,F,Hits,3,standard,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,hits,SKATER,STL,1,8477527,3.419,0.0,0.0,2.613,0.0,0.0,62,26,WEAK,0.0,0.0,0.0,0.0,30,0.0,0.0,0.075,0.1,9.186,8.486,,,,0.0,0.0,0.0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,0.5,UNDER,L,F,SHUTDOWN,NO_PP,0.233,0.05,0.0,9.77
10411646,218311,Dylan Holloway,STL,F,Hits,1.5,standard,False,ANA,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,hits,SKATER,ANA,0,8482077,3.5,0.0,0.0,3.403,0.0,0.0,62,30,WEAK,0.0,0.0,0.0,0.0,30,9.8,11.95,10.85,9.167,17.204,17.721,,,,0.0,6.5,1.5,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,0.5,UNDER,L,F,SECONDARY,PP_OCC,0.641,0.308,0.077,17.63
10409600,215935,Cutter Gauthier,ANA,F,Shots On Goal,5.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8483445,3.419,0.0,0.0,2.613,0.0,0.0,62,26,WEAK,3.4,3.1,2.9,2.833,30,10.9,9.65,9.3,9.283,14.582,13.882,,,,4.5,9.5,1.5,,,,,,,,,,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,4,5,0.1,1,9,10,0.1,2,18,20,0.1333,30,0.1433,0.3567,UNDER,L,F,ELITE,PP_REGULAR,0.934,0.525,0.246,17.45
10409585,268295,Beckett Sennecke,ANA,F,Shots On Goal,4.5,demon,False,STL,STL,ANA,2026-03-08T21:00:00.000-04:00,134413,2026-03-08T23:45:24Z,shots_on_goal,SKATER,STL,1,8484762,3.419,0.0,0.0,2.613,0.0,0.0,62,26,WEAK,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,4,5,0.3,3,7,10,0.25,5,15,20,0.2333,30,0.2458,0.2542,UNDER,R,F,SECONDARY,PP_OCC,0.823,0.323,0.177,17.55
